iter	RMSE
0	3965.236667
1	3895.207622
2	3826.652429
3	3758.563726
4	3691.798474
5	3626.305571
6	3562.858324
7	3500.824027
8	3439.84168
9	3380.656873
10	3322.024077
11	3264.82707
12	3207.800161
13	3151.53043
14	3097.647872
15	3044.890756
16	2991.534609
17	2939.799521
18	2890.442976
19	2842.45756
20	2793.837963
21	2747.175313
22	2701.833943
23	2655.745368
24	2611.677119
25	2569.332145
26	2526.35893
27	2483.913983
28	2444.070637
29	2403.632075
30	2364.658359
31	2327.175758
32	2290.495208
33	2254.690917
34	2218.969141
35	2184.240308
36	2150.972192
37	2116.360631
38	2083.0942
39	2050.739658
40	2019.97826
41	1988.995408
42	1959.709334
43	1930.249566
44	1901.455974
45	1873.069542
46	1845.538788
47	1818.74736
48	1792.194515
49	1766.413748
50	1740.936922
51	1716.271187
52	1692.560622
53	1667.820542
54	1645.217653
55	1622.335949
56	1599.960421
57	1578.136329
58	1556.713384
59	1536.163367
60	1515.745996
61	1496.111965
62	1476.537206
63	1457.331612
64	1438.998938
65	1420.878241
66	1403.687986
67	1386.631022
68	1369.826895
69	1353.493461
70	1337.591589
71	1322.10683
72	1305.991477
73	1290.773274
74	1275.759791
75	1261.604923
76	1247.531728
77	1233.81798
78	1220.102632
79	1206.675735
80	1193.16824
81	1180.378625
82	1167.226727
83	1155.106345
84	1143.575806
85	1131.87776
86	1120.764962
87	1109.582198
88	1098.395097
89	1088.146737
90	1077.765754
91	1067.378637
92	1057.125426
93	1047.367118
94	1038.114728
95	1029.150282
96	1019.876846
97	1011.235819
98	1002.873781
99	993.9578907
100	985.6105463
101	977.4188857
102	968.8859902
103	960.9491274
104	953.6414711
105	946.1902532
106	938.8518838
107	931.9833013
108	924.9332947
109	918.1287135
110	911.6208845
111	904.7580937
112	898.682201
113	892.7962768
114	886.9541647
115	880.8962657
116	875.3806491
117	869.919772
118	864.5476986
119	859.0277936
120	853.8595223
121	848.5357064
122	843.3989086
123	838.6274891
124	833.5916957
125	828.9196156
126	824.2772792
127	819.4787041
128	814.8915517
129	810.7677884
130	806.5963955
131	802.5901057
132	798.5184027
133	794.7528128
134	790.9426418
135	787.1493262
136	783.6287002
137	780.2039778
138	776.9062482
139	773.8465459
140	770.439216
141	767.1478662
142	763.9651656
143	760.663403
144	757.7218151
145	754.718723
146	751.7356619
147	749.0655663
148	746.1434635
149	743.574299
150	740.9617975
151	738.448616
152	736.0485542
153	733.5103012
154	731.1140298
155	728.7638049
156	726.3921503
157	724.2157745
158	721.9551051
159	719.7607868
160	717.5641422
161	715.5494924
162	713.5970118
163	711.7425953
164	709.9708316
165	708.0071544
166	706.0155659
167	704.1457007
168	702.4311888
169	700.6292514
170	698.9068813
171	697.1514749
172	695.6096508
173	694.1048813
174	692.4687091
175	690.8917704
176	689.5799955
177	688.0735158
178	686.7975389
179	685.3781556
180	683.974959
181	682.6335034
182	681.3899356
183	680.0437913
184	678.8639084
185	677.6625549
186	676.4977759
187	675.2419332
188	674.1732951
189	672.9865472
190	671.8820984
191	670.797361
192	669.8421441
193	668.7005177
194	667.6872312
195	666.844277
196	665.9246097
197	664.8780293
198	663.971219
199	662.9624991
200	662.0694405
201	661.0792099
202	660.2584481
203	659.3787024
204	658.5528486
205	657.8154905
206	656.747021
207	655.8367034
208	654.9300831
209	654.1925046
210	653.479427
211	652.6826448
212	651.8831061
213	651.2118011
214	650.3686785
215	649.7150421
216	648.9676863
217	648.1671434
218	647.4884386
219	646.7740965
220	646.1085673
221	645.3812209
222	644.7612361
223	644.2012793
224	643.546622
225	642.7744497
226	642.1173821
227	641.6306386
228	640.9920107
229	640.4213727
230	639.778531
231	639.2565009
232	638.6569
233	638.0582996
234	637.6371528
235	637.0743969
236	636.6309633
237	636.0641876
238	635.4077112
239	634.8407355
240	634.3323845
241	633.9233371
242	633.3545091
243	632.8673446
244	632.4203082
245	632.0617614
246	631.6339475
247	631.2158538
248	630.6382237
249	630.2449558
250	629.8755387
251	629.3758466
252	628.9066018
253	628.4583758
254	628.142504
255	627.7942667
256	627.2353787
257	626.6812307
258	626.3263388
259	625.9319905
260	625.4975108
261	625.1097609
262	624.8322188
263	624.4854185
264	624.0920062
265	623.7196235
266	623.4063205
267	622.9706869
268	622.5588749
269	622.2345518
270	621.8297989
271	621.4043121
272	621.0414978
273	620.7453068
274	620.3409366
275	619.9952231
276	619.6541347
277	619.2816039
278	619.0506673
279	618.8389955
280	618.4005339
281	617.9936501
282	617.6846392
283	617.2718287
284	616.8854224
285	616.5879507
286	616.273028
287	615.8804508
288	615.5760447
289	615.2460153
290	614.9514074
291	614.6526994
292	614.373632
293	613.9634125
294	613.5518273
295	613.1716213
296	612.9289827
297	612.7073935
298	612.5123761
299	612.2776349
300	612.0701217
301	611.875996
302	611.6972209
303	611.3578307
304	611.0364427
305	610.7723526
306	610.3988556
307	610.0843308
308	609.9310152
309	609.7525036
310	609.5335546
311	609.2341748
312	608.889761
313	608.5234808
314	608.3600373
315	608.1393855
316	607.9642927
317	607.7774452
318	607.5520058
319	607.3215675
320	607.1873115
321	607.0088093
322	606.8045041
323	606.5781659
324	606.4189714
325	606.2133378
326	605.8523984
327	605.6908874
328	605.4831153
329	605.1843738
330	605.0391162
331	604.87559
332	604.6078526
333	604.3852853
334	604.2184556
335	604.0112095
336	603.8149219
337	603.5974788
338	603.4034596
339	603.1719411
340	603.0441049
341	602.9239214
342	602.72122
343	602.5950906
344	602.3960646
345	602.0572
346	601.8140862
347	601.6578424
348	601.4425968
349	601.1752866
350	601.088618
351	600.8689342
352	600.6659414
353	600.5255301
354	600.3468371
355	600.2311652
356	599.9914742
357	599.8740584
358	599.7489166
359	599.609191
360	599.4360172
361	599.315795
362	599.1758662
363	599.0297431
364	598.9361187
365	598.6604954
366	598.5751003
367	598.4494886
368	598.2864867
369	598.1701446
370	598.0786039
371	597.9895998
372	597.8361059
373	597.7311305
374	597.5829763
375	597.419692
376	597.2834144
377	597.1622729
378	597.0404939
379	596.922809
380	596.8032868
381	596.6207328
382	596.3376186
383	596.209462
384	596.1332179
385	595.9411715
386	595.7940544
387	595.72062
388	595.6039145
389	595.4901313
390	595.3224306
391	595.1701073
392	595.0456981
393	594.9352623
394	594.7912043
395	594.7077666
396	594.6279947
397	594.3894147
398	594.314282
399	594.2180417
400	594.1028428
401	593.962537
402	593.8771249
403	593.7881522
404	593.6780779
405	593.5992745
406	593.3663574
407	593.2799483
408	593.1271337
409	592.991577
410	592.8824266
411	592.8248047
412	592.7463616
413	592.6405973
414	592.5698467
415	592.4599998
416	592.3231274
417	592.2389854
418	592.1177234
419	591.991436
420	591.8719605
