iter	Passed	Remaining
0	8	4929
1	16	4905
2	22	4456
3	25	3779
4	28	3375
5	31	3101
6	34	2951
7	40	2985
8	45	2988
9	49	2897
10	52	2785
11	55	2711
12	58	2634
13	61	2582
14	64	2525
15	69	2519
16	74	2557
17	78	2547
18	82	2518
19	86	2504
20	89	2463
21	92	2427
22	95	2395
23	98	2362
24	104	2392
25	108	2388
26	111	2374
27	114	2346
28	119	2347
29	122	2320
30	124	2293
31	128	2274
32	131	2252
33	135	2253
34	139	2248
35	143	2247
36	146	2224
37	149	2207
38	151	2186
39	154	2167
40	157	2147
41	160	2129
42	163	2114
43	167	2110
44	170	2100
45	173	2090
46	177	2082
47	179	2066
48	182	2057
49	185	2042
50	188	2028
51	191	2015
52	193	2002
53	197	1998
54	201	1991
55	204	1984
56	207	1979
57	210	1968
58	213	1955
59	217	1958
60	220	1949
61	223	1939
62	226	1933
63	231	1936
64	234	1928
65	237	1923
66	241	1917
67	243	1908
68	247	1901
69	249	1890
70	252	1881
71	255	1872
72	258	1864
73	261	1860
74	264	1854
75	268	1849
76	272	1849
77	275	1842
78	278	1834
79	280	1825
80	283	1816
81	286	1807
82	288	1799
83	291	1793
84	295	1792
85	298	1783
86	301	1779
87	305	1775
88	307	1767
89	311	1763
90	314	1756
91	316	1750
92	319	1742
93	323	1739
94	326	1736
95	329	1730
96	332	1725
97	335	1719
98	338	1714
99	341	1707
100	344	1700
101	346	1693
102	349	1686
103	352	1680
104	354	1673
105	358	1669
106	361	1665
107	364	1659
108	367	1655
109	370	1650
110	372	1643
111	376	1638
112	378	1631
113	381	1626
114	384	1620
115	386	1614
116	389	1608
117	393	1607
118	396	1601
119	399	1597
120	402	1594
121	405	1588
122	408	1582
123	410	1576
124	414	1573
125	417	1570
126	420	1565
127	424	1564
128	427	1559
129	430	1556
130	433	1553
131	436	1548
132	439	1543
133	441	1536
134	444	1530
135	447	1526
136	449	1520
137	453	1516
138	456	1513
139	459	1508
140	462	1506
141	466	1503
142	468	1498
143	471	1493
144	474	1487
145	476	1482
146	479	1478
147	483	1475
148	486	1473
149	490	1470
150	493	1466
151	496	1462
152	499	1459
153	501	1453
154	504	1448
155	507	1443
156	510	1439
157	513	1436
158	516	1431
159	519	1428
160	523	1427
161	526	1423
162	529	1420
163	532	1415
164	535	1412
165	538	1409
166	541	1405
167	544	1401
168	548	1397
169	551	1395
170	554	1391
171	557	1387
172	560	1383
173	563	1380
174	566	1375
175	569	1372
176	572	1367
177	575	1363
178	577	1359
179	580	1354
180	584	1352
181	587	1348
182	590	1344
183	593	1341
184	597	1339
185	600	1336
186	603	1332
187	606	1328
188	609	1325
189	612	1321
190	616	1319
191	619	1315
192	621	1311
193	625	1308
194	628	1305
195	631	1302
196	634	1298
197	637	1294
198	639	1289
199	642	1284
200	645	1281
201	649	1279
202	652	1275
203	654	1271
204	658	1268
205	661	1264
206	664	1261
207	666	1256
208	669	1252
209	672	1248
210	674	1243
211	677	1239
212	681	1237
213	684	1234
214	686	1230
215	690	1227
216	693	1223
217	695	1219
218	698	1215
219	700	1210
220	703	1206
221	706	1203
222	709	1199
223	712	1196
224	715	1192
225	718	1189
226	722	1186
227	725	1183
228	728	1179
229	730	1175
230	733	1171
231	735	1167
232	739	1164
233	741	1159
234	745	1158
235	748	1155
236	751	1150
237	755	1148
238	758	1145
239	761	1142
240	764	1138
241	766	1134
242	769	1130
243	772	1127
244	775	1123
245	779	1121
246	781	1117
247	785	1114
248	788	1111
249	791	1107
250	794	1104
251	796	1100
252	799	1096
253	802	1093
254	805	1089
255	808	1086
256	811	1083
257	814	1079
258	818	1077
259	820	1073
260	823	1069
261	826	1066
262	828	1062
263	831	1058
264	834	1055
265	837	1051
266	840	1048
267	844	1046
268	847	1042
269	849	1038
270	852	1035
271	855	1031
272	858	1027
273	860	1023
274	863	1019
275	865	1016
276	868	1012
277	870	1008
278	874	1006
279	877	1002
280	880	999
281	883	996
282	886	992
283	889	989
284	892	986
285	894	982
286	897	978
287	900	975
288	904	972
289	907	970
290	910	966
291	913	963
292	917	961
293	919	957
294	922	954
295	924	949
296	927	946
297	930	943
298	933	939
299	936	936
300	940	934
301	943	930
302	946	927
303	949	924
304	953	921
305	955	918
306	958	915
307	961	911
308	964	908
309	967	904
310	971	902
311	974	899
312	977	896
313	981	893
314	983	890
315	987	887
316	989	883
317	992	879
318	995	876
319	998	873
320	1002	871
321	1005	868
322	1008	864
323	1011	862
324	1015	858
325	1017	855
326	1020	851
327	1022	848
328	1025	844
329	1028	841
330	1031	838
331	1034	835
332	1037	831
333	1040	828
334	1043	825
335	1046	822
336	1048	818
337	1051	814
338	1053	811
339	1056	807
340	1058	804
341	1060	800
342	1063	797
343	1066	794
344	1070	791
345	1073	787
346	1075	784
347	1078	781
348	1081	777
349	1083	774
350	1085	770
351	1088	766
352	1091	763
353	1093	759
354	1096	756
355	1099	753
356	1102	750
357	1105	746
358	1107	743
359	1110	740
360	1113	736
361	1115	733
362	1118	730
363	1120	726
364	1122	723
365	1125	719
366	1127	716
367	1131	713
368	1134	710
369	1137	706
370	1139	703
371	1142	700
372	1144	696
373	1147	693
374	1149	689
375	1152	686
376	1155	683
377	1157	679
378	1160	676
379	1163	673
380	1166	670
381	1168	667
382	1171	663
383	1174	660
384	1177	657
385	1179	654
386	1182	650
387	1184	647
388	1187	643
389	1189	640
390	1192	637
391	1196	635
392	1200	632
393	1203	629
394	1206	626
395	1208	622
396	1211	619
397	1213	616
398	1216	612
399	1218	609
400	1221	605
401	1223	602
