iter	Passed	Remaining
0	13	7815
1	17	5331
2	22	4458
3	26	4005
4	31	3758
5	36	3573
6	40	3444
7	45	3365
8	49	3278
9	54	3209
10	58	3149
11	63	3108
12	67	3064
13	72	3033
14	77	3005
15	81	2972
16	85	2947
17	90	2922
18	95	2906
19	99	2893
20	104	2877
21	108	2861
22	113	2848
23	118	2834
24	122	2820
25	127	2811
26	131	2795
27	136	2791
28	141	2780
29	145	2768
30	150	2758
31	154	2749
32	159	2739
33	164	2731
34	168	2719
35	172	2706
36	177	2698
37	181	2688
38	186	2681
39	190	2672
40	195	2667
41	200	2658
42	204	2650
43	209	2643
44	213	2638
45	218	2632
46	223	2629
47	228	2625
48	232	2618
49	237	2609
50	241	2603
51	246	2598
52	251	2592
53	255	2584
54	260	2579
55	264	2572
56	269	2565
57	274	2561
58	278	2555
59	283	2549
60	287	2544
61	292	2539
62	297	2533
63	301	2527
64	306	2521
65	310	2515
66	315	2509
67	319	2501
68	324	2495
69	329	2491
70	333	2486
71	338	2480
72	342	2476
73	347	2470
74	352	2466
75	356	2460
76	361	2455
77	365	2448
78	370	2442
79	374	2435
80	379	2431
81	383	2425
82	388	2419
83	393	2415
84	397	2409
85	402	2402
86	406	2396
87	411	2391
88	415	2387
89	420	2382
90	424	2376
91	429	2370
92	433	2364
93	438	2359
94	443	2355
95	447	2348
96	451	2343
97	456	2337
98	460	2332
99	465	2326
100	469	2319
101	473	2313
102	478	2309
103	482	2303
104	487	2297
105	491	2292
106	496	2287
107	500	2280
108	505	2275
109	509	2270
110	513	2264
111	518	2258
112	522	2251
113	527	2246
114	531	2241
115	536	2236
116	540	2230
117	544	2224
118	549	2219
119	553	2213
120	557	2207
121	562	2202
122	566	2196
123	570	2190
124	575	2185
125	590	2220
126	596	2221
127	603	2225
128	608	2223
129	613	2219
130	618	2214
131	624	2212
132	628	2206
133	632	2201
134	637	2194
135	641	2189
136	645	2182
137	650	2177
138	654	2171
139	659	2166
140	663	2160
141	668	2155
142	672	2149
143	677	2144
144	681	2139
145	686	2135
146	691	2131
147	696	2128
148	701	2124
149	706	2119
150	711	2114
151	715	2109
152	720	2105
153	725	2101
154	730	2098
155	735	2094
156	742	2094
157	748	2093
158	754	2092
159	759	2089
160	765	2087
161	770	2082
162	774	2076
163	779	2071
164	784	2068
165	789	2063
166	793	2058
167	797	2051
168	802	2046
169	807	2041
170	811	2035
171	816	2031
172	820	2025
173	825	2020
174	829	2015
175	835	2011
176	839	2006
177	844	2001
178	849	1997
179	853	1992
180	858	1987
181	863	1982
182	867	1977
183	872	1972
184	877	1967
185	881	1961
186	885	1956
187	890	1951
188	894	1946
189	899	1940
190	904	1936
191	909	1932
192	913	1926
193	918	1922
194	923	1917
195	927	1912
196	932	1907
197	937	1902
198	941	1897
199	945	1891
200	950	1886
201	955	1882
202	960	1879
203	966	1875
204	971	1871
205	977	1869
206	983	1867
207	988	1863
208	994	1860
209	998	1854
210	1003	1849
211	1007	1843
212	1011	1838
213	1016	1833
214	1021	1828
215	1026	1824
216	1030	1819
217	1035	1814
218	1040	1809
219	1044	1804
220	1049	1799
221	1054	1794
222	1058	1789
223	1063	1784
224	1067	1779
225	1072	1775
226	1076	1769
227	1081	1764
228	1085	1759
229	1091	1755
230	1096	1752
231	1102	1748
232	1108	1745
233	1113	1741
234	1118	1737
235	1123	1732
236	1128	1728
237	1134	1725
238	1139	1721
239	1144	1717
240	1150	1714
241	1156	1710
242	1161	1706
243	1167	1702
244	1172	1699
245	1178	1695
246	1183	1692
247	1188	1687
248	1193	1682
249	1198	1678
250	1203	1673
251	1208	1668
252	1213	1664
253	1217	1658
254	1222	1653
255	1226	1648
256	1231	1643
257	1235	1637
258	1240	1632
259	1244	1627
260	1248	1621
261	1252	1616
262	1257	1611
263	1262	1606
264	1267	1601
265	1271	1596
266	1276	1591
267	1281	1587
268	1286	1583
269	1291	1578
270	1296	1573
271	1300	1568
272	1305	1563
273	1310	1559
274	1315	1554
275	1319	1548
276	1323	1543
277	1328	1538
278	1332	1533
279	1337	1528
280	1341	1523
281	1346	1518
282	1351	1513
283	1356	1509
284	1361	1504
285	1365	1499
286	1370	1494
287	1375	1490
288	1380	1485
289	1384	1480
290	1389	1475
291	1394	1470
292	1399	1466
293	1404	1461
294	1408	1456
295	1413	1451
296	1417	1446
297	1421	1440
298	1426	1435
299	1430	1430
300	1434	1425
301	1439	1420
302	1443	1415
303	1448	1410
304	1453	1405
305	1457	1400
306	1461	1394
307	1465	1389
308	1470	1384
309	1474	1379
310	1479	1374
311	1483	1369
312	1488	1364
313	1492	1359
314	1497	1354
315	1501	1349
316	1506	1344
317	1510	1339
318	1515	1334
319	1519	1329
320	1523	1324
321	1528	1319
322	1532	1314
323	1537	1309
324	1541	1304
325	1545	1299
326	1550	1294
327	1555	1289
328	1559	1284
329	1563	1279
330	1568	1274
331	1572	1269
332	1577	1264
333	1581	1259
334	1586	1254
335	1590	1249
336	1594	1244
337	1598	1239
338	1603	1234
339	1607	1229
340	1611	1224
341	1616	1219
342	1620	1214
343	1625	1209
344	1629	1204
345	1633	1199
346	1638	1194
347	1642	1189
348	1647	1184
349	1651	1179
350	1655	1174
351	1660	1169
352	1664	1164
353	1668	1159
354	1672	1154
355	1677	1149
356	1681	1144
357	1686	1140
358	1691	1135
359	1695	1130
360	1699	1125
361	1703	1120
362	1708	1115
363	1713	1110
364	1717	1105
365	1721	1100
366	1726	1096
367	1730	1090
368	1734	1086
369	1739	1081
370	1743	1076
371	1748	1071
372	1752	1066
373	1757	1061
374	1761	1056
375	1766	1052
376	1770	1047
377	1775	1042
378	1779	1037
379	1784	1032
380	1788	1027
381	1792	1022
382	1797	1018
383	1801	1013
384	1805	1008
385	1810	1003
386	1814	998
387	1818	993
388	1823	988
389	1827	984
390	1831	979
391	1836	974
392	1840	969
393	1845	964
394	1849	959
395	1853	954
396	1858	950
397	1862	945
398	1867	940
399	1871	935
400	1876	931
401	1880	926
402	1884	921
403	1889	916
404	1893	911
405	1898	907
406	1902	902
407	1906	897
408	1911	892
409	1915	887
410	1919	882
411	1924	878
412	1928	873
413	1933	868
414	1937	863
415	1942	859
416	1946	854
417	1950	849
418	1954	844
419	1959	839
420	1963	835
421	1968	830
422	1973	825
423	1977	820
424	1981	816
425	1985	811
426	1990	806
427	1994	801
428	1998	796
429	2003	791
430	2007	787
431	2012	782
432	2016	777
433	2021	773
434	2025	768
435	2029	763
436	2034	758
437	2038	753
438	2042	749
439	2046	744
440	2049	739
441	2054	734
442	2058	729
443	2062	724
444	2067	719
445	2071	715
446	2075	710
447	2080	705
448	2084	701
449	2089	696
450	2094	691
451	2097	686
452	2102	682
453	2106	677
454	2110	672
455	2114	667
456	2119	663
457	2124	658
458	2128	653
459	2132	649
460	2137	644
461	2141	639
462	2146	635
463	2150	630
464	2154	625
465	2159	620
466	2163	616
467	2168	611
468	2172	606
469	2177	602
470	2181	597
471	2185	592
472	2190	588
473	2195	583
474	2199	578
475	2204	574
476	2209	569
477	2213	565
478	2218	560
479	2223	555
480	2227	550
481	2231	546
482	2236	541
483	2241	537
484	2245	532
485	2249	527
486	2254	523
487	2259	518
488	2264	513
489	2268	509
490	2273	504
491	2277	500
492	2282	495
493	2286	490
494	2291	486
495	2295	481
496	2300	476
497	2304	472
498	2309	467
499	2313	462
500	2317	458
501	2322	453
502	2327	448
503	2331	444
504	2335	439
505	2340	434
506	2344	430
507	2349	425
508	2353	420
509	2358	416
510	2362	411
511	2367	406
512	2371	402
513	2376	397
514	2380	392
515	2385	388
516	2390	383
517	2394	379
518	2399	374
519	2404	369
520	2408	365
521	2413	360
522	2417	355
523	2422	351
524	2426	346
525	2431	342
526	2436	337
527	2441	332
528	2445	328
529	2450	323
530	2454	318
531	2459	314
532	2464	309
533	2468	305
534	2473	300
535	2478	295
536	2482	291
537	2487	286
538	2491	282
539	2496	277
540	2500	272
541	2505	268
542	2510	263
543	2515	258
544	2519	254
545	2524	249
546	2528	245
547	2533	240
548	2538	235
549	2542	231
550	2547	226
551	2551	221
552	2556	217
553	2561	212
554	2565	208
555	2569	203
556	2574	198
557	2578	194
558	2583	189
559	2587	184
560	2591	180
561	2596	175
562	2600	170
563	2605	166
564	2610	161
565	2614	157
566	2618	152
567	2623	147
568	2627	143
569	2631	138
570	2636	133
571	2640	129
572	2645	124
573	2650	120
574	2654	115
575	2659	110
576	2664	106
577	2668	101
578	2673	96
